ID,BPName,BPLocation,BPLat,BPLon,WSID,CSVScale,EntryRiverName,RiverCode,SubRiverCode,OfficeCode,BPTime,isDepthMax,isStartMax,isDurationMax
a1a8958c-a55f-452f-8eb9-ef6bf6c7d058,BP048,î„à…êÏ4.8Km âEä›îjíÁ,35.4207662,132.8294757,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
08c43b55-8517-4cc7-9b70-b7788a6fd191,BP049,î„à…êÏ5.0Km âEä›îjíÁ,35.41973365,132.8276664,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
6b858168-faa5-405d-ab86-546b1f0436b7,BP050,î„à…êÏ5.2Km âEä›îjíÁ,35.41885745,132.8256661,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,True,False
1229f752-2419-4fa2-9d8f-a75e4204c1e8,BP051,î„à…êÏ7.8Km âEä›îjíÁ,35.40458391,132.8040923,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
5759cdaf-a18c-4e61-bd39-7584cd17e66f,BP052,î„à…êÏ8.0Km âEä›îjíÁ,35.40306412,132.8025767,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
dbc62008-7084-4909-8854-e191d376fba5,BP053,î„à…êÏ8.2Km âEä›îjíÁ,35.40200724,132.8007476,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160]",False,False,False
2ff4f46d-cea3-4fac-bb62-c7710318a55f,BP054,î„à…êÏ8.4Km âEä›îjíÁ,35.40093199,132.7988966,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
c4c627f4-9679-460d-96cd-368a10d8e6d6,BP055,î„à…êÏ8.6Km âEä›îjíÁ,35.39993051,132.7970305,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
b6b5b912-7912-4c94-9ff6-eb94883e6911,BP056,î„à…êÏ8.8Km âEä›îjíÁ,35.39892512,132.7952079,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
c7098a90-479b-42d3-8f4b-bf19e4e0aa9b,BP057,î„à…êÏ9.0Km âEä›îjíÁ,35.39807053,132.7932827,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
